City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vardø,70.3705,31.1107,37.4,56,0,4.61,NO,1618799771
Mataura,-46.1927,168.8643,61,77,49,10,NZ,1618800371
Bubaque,11.2833,-15.8333,76.93,72,59,12.66,GW,1618799797
Kloulklubed,7.0419,134.2556,75.2,94,90,8.05,PW,1618799887
Mihail Kogălniceanu,44.3667,28.45,45,87,90,5.75,RO,1618800371
Punta Arenas,-53.15,-70.9167,46.4,81,0,3.44,CL,1618800372
Cap Malheureux,-19.9842,57.6142,77,84,49,1.99,MU,1618799959
Tuktoyaktuk,69.4541,-133.0374,35.6,75,20,13.8,CA,1618800372
Srandakan,-7.9386,110.2506,84.65,69,33,10.98,ID,1618800373
Peniche,39.3558,-9.3811,57,90,92,5.48,PT,1618799946
Hong Kong,22.2855,114.1577,73.99,66,100,5.01,HK,1618800192
Faanui,-16.4833,-151.75,82.96,68,0,12.37,PF,1618799961
Hobart,-42.8794,147.3294,66.2,42,75,23.02,AU,1618800374
Ushuaia,-54.8,-68.3,53.6,62,40,6.91,AR,1618800263
Vostok,46.4856,135.8833,44.69,61,97,13.29,RU,1618800375
Esperance,-33.8667,121.9,71.6,46,34,9.22,AU,1618800256
Khowai,24.1,91.6333,84.2,79,75,7.47,IN,1618800375
Rawson,-43.3002,-65.1023,67.42,44,86,13.62,AR,1618800376
Vanimo,-2.6741,141.3028,78.15,88,70,5.86,PG,1618800376
Dongning,44.0622,131.1207,65.03,23,0,8.52,CN,1618800377
Port Alfred,-33.5906,26.891,72.25,48,0,21.27,ZA,1618800377
Flinders,-34.5833,150.8552,75,46,6,1.99,AU,1618800377
Atuona,-9.8,-139.0333,80.38,80,19,18.88,PF,1618800355
Kapaa,22.0752,-159.319,78.8,61,20,13.8,US,1618800378
Yellowknife,62.456,-114.3525,39.2,56,40,6.91,CA,1618800311
Cape Town,-33.9258,18.4232,66,94,0,19.57,ZA,1618800260
Sindgi,16.9167,76.2333,88.99,33,5,13.62,IN,1618800379
Laguna,38.421,-121.4238,86,17,1,11.5,US,1618800379
East London,-33.0153,27.9116,73.92,34,0,6.73,ZA,1618800376
Joaíma,-16.6542,-41.0306,68.4,95,28,2.44,BR,1618800380
Puerto Ayora,-0.7393,-90.3518,77,97,100,1.99,EC,1618800380
Mahébourg,-20.4081,57.7,78.8,83,75,11.5,MU,1618800381
Safford,32.834,-109.7076,64.4,34,75,23.02,US,1618800381
Port-Gentil,-0.7193,8.7815,81.19,78,100,7,GA,1618800382
Ribeira Grande,38.5167,-28.7,61.54,85,61,8.55,PT,1618800382
Qaanaaq,77.484,-69.3632,2.28,75,100,4.92,GL,1618800382
Bluff,-46.6,168.3333,61,77,68,10,NZ,1618800383
Lagoa,39.05,-27.9833,60.66,84,92,12.26,PT,1618800383
Port Shepstone,-30.7414,30.455,68.86,39,0,7.56,ZA,1618800384
Vaini,-21.2,-175.2,82.4,74,20,6.91,TO,1618800384
Itanagar,27.1,93.6167,72.43,73,39,3.56,IN,1618800384
Khovd,48.0056,91.6419,51.31,15,76,7.54,MN,1618800385
Busselton,-33.65,115.3333,68,74,53,1.99,AU,1618800385
Albany,42.6001,-73.9662,48.2,81,90,4.14,US,1618800375
Chokurdakh,70.6333,147.9167,12.4,89,41,11.88,RU,1618799834
Olafsvik,64.8945,-23.7142,33.49,79,100,11.99,IS,1618799873
Marsh Harbour,26.5412,-77.0636,77.34,81,45,11.5,BS,1618800386
Comodoro Rivadavia,-45.8667,-67.5,66.2,48,0,8.05,AR,1618799801
Nikolskoye,59.7035,30.7861,42.8,61,0,4.47,RU,1618800387
Kargasok,59.0556,80.8572,8.62,79,100,18.3,RU,1618800387
Bredasdorp,-34.5322,20.0403,64.4,88,99,3.44,ZA,1618800388
George Town,5.4112,100.3354,87.01,70,20,4.61,MY,1618800319
Woodward,36.4337,-99.3904,51.01,46,1,4.61,US,1618800389
Hofn,64.2539,-15.2082,38.35,71,14,13.15,IS,1618800389
Sambava,-14.2667,50.1667,75.99,89,87,15.35,MG,1618800390
Gemeente Enkhuizen,52.7,5.2833,45,93,5,9.22,NL,1618800391
Asău,46.4333,26.4,41,67,100,0.2,RO,1618800391
Upernavik,72.7868,-56.1549,0.99,88,100,4.85,GL,1618800391
Vao,-22.6667,167.4833,77.43,80,96,10.42,NC,1618799900
Butaritari,3.0707,172.7902,83.5,74,46,11.95,KI,1618800392
Abbeville,50.1,1.8333,39.99,100,0,3.44,FR,1618800392
Jamestown,42.097,-79.2353,46,70,75,9.22,US,1618800337
Sola,-13.8833,167.55,82.87,74,23,9.44,VU,1618800393
Cabiguan,12.9058,123.7314,73.9,94,100,21.16,PH,1618800393
Mar del Plata,-38.0023,-57.5575,66,88,0,8.05,AR,1618800235
Rikitea,-23.1203,-134.9692,78.1,72,10,5.26,PF,1618800394
Skellefteå,64.7507,20.9528,26.6,93,97,5.75,SE,1618800394
Narasannapeta,18.4167,84.05,88.7,59,5,8.37,IN,1618800395
The Pas,53.8251,-101.2541,30.2,47,1,11.5,CA,1618800396
Saint-Philippe,-21.3585,55.7679,77,83,90,12.66,RE,1618800396
Ubari,26.5921,12.7805,67.77,27,9,16.89,LY,1618800396
Santa Barbara,34.7333,-120.0343,59,63,1,6.91,US,1618800397
Rongcheng,30.634,117.8517,74.3,42,5,2.84,CN,1618800398
Feijó,-8.1642,-70.3536,72.57,98,100,2.46,BR,1618800398
Hay River,60.8156,-115.7999,41,56,100,4.61,CA,1618800398
Tuatapere,-46.1333,167.6833,61,77,85,10,NZ,1618800399
Arraial do Cabo,-22.9661,-42.0278,74.84,81,91,16.35,BR,1618800399
Hermanus,-34.4187,19.2345,64.99,93,100,14.79,ZA,1618800400
Carnarvon,-24.8667,113.6333,78.6,57,0,16.4,AU,1618800400
Rājūra,19.7833,79.3667,94.41,29,28,5.84,IN,1618800401
Ozernovskiy,51.5,156.5167,37.92,86,100,19.6,RU,1618800401
Bambous Virieux,-20.3428,57.7575,78.8,83,75,11.5,MU,1618800401
Kamenka,51.3223,42.7678,48.18,72,100,5.66,RU,1618799914
Paita,-5.0892,-81.1144,70.56,80,88,7.61,PE,1618799994
Saskylakh,71.9167,114.0833,6.91,89,94,11.61,RU,1618800402
Cape Canaveral,28.4058,-80.6048,75.2,88,1,4.61,US,1618800403
Kang,-23.6752,22.7876,56.75,52,1,6.69,BW,1618800403
Ukhta,63.5671,53.6835,26.28,62,24,2.28,RU,1618800403
Westport,41.1415,-73.3579,52,71,90,4.61,US,1618800404
Bandarbeyla,9.4942,50.8122,81.73,78,10,10.04,SO,1618799875
